"S2 Table. Data for each functional group used to develop all scores, the scores themselves, and the OA survival response curve with slope error.",,,,,,,,,,,,,,,,,,
Functional group,Respone number,rScore no effect,rScore decrease,rScore increase,rScore complex,PrScore no effect,PrScore decrease,PrScore increase,Directional score,Evidence score,Agreement score,Normalized agreement score,Confidence score,Raw survival scalar,Relative survival scalar,OA survival response curve slope,OA survival response curve lower bound slope,OA survival response curve upper bound slope
Benthic bacteria,4,2.05,0.00,0.71,0.00,0.74,0.00,0.26,0.26,2.76,0.81,0.62,0.63,0.16,0.12,-0.12,-0.54,0.31
Benthic herbivorous grazers,258,56.11,99.42,5.43,4.08,0.35,0.62,0.03,-0.58,160.97,0.73,0.46,2.35,-1.37,-1.00,1.00,0.78,1.22
Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09
Carnivorous infauna,41,13.94,12.97,1.55,0.78,0.49,0.46,0.05,-0.40,28.46,0.70,0.40,1.34,-0.54,-0.39,0.39,0.05,0.73
Coccolithophore,305,75.09,83.14,39.77,8.46,0.38,0.42,0.20,-0.22,198.01,0.60,0.19,1.01,-0.22,-0.16,0.16,-0.22,0.54
Coralline algae,142,33.90,54.89,4.22,5.03,0.36,0.59,0.05,-0.54,93.00,0.71,0.43,1.95,-1.06,-0.77,0.77,0.51,1.04
Crabs,145,50.63,47.39,2.13,2.25,0.51,0.47,0.02,-0.45,100.15,0.73,0.46,2.12,-0.96,-0.70,0.70,0.45,0.95
Crangon shrimp,17,4.21,5.08,0.00,0.00,0.45,0.55,0.00,-0.55,9.28,0.75,0.50,1.12,-0.61,-0.45,0.45,0.08,0.81
Deep benthic filter feeders,34,12.81,1.92,4.65,0.00,0.66,0.10,0.24,0.14,19.38,0.73,0.46,1.35,0.19,0.14,-0.14,-0.48,0.20
Deposit feeders,47,13.26,12.59,1.70,1.97,0.48,0.46,0.06,-0.40,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72
Dungeness crab,34,15.03,10.68,0.78,0.94,0.57,0.40,0.03,-0.37,26.49,0.73,0.46,1.51,-0.57,-0.41,0.41,0.09,0.73
Fish,167,65.72,27.88,9.98,4.43,0.63,0.27,0.10,-0.17,103.57,0.72,0.43,2.01,-0.35,-0.25,0.25,-0.01,0.51
Gelatinous zooplankton,3,1.51,0.00,0.83,0.00,0.64,0.00,0.36,0.36,2.35,0.77,0.54,0.46,0.16,0.12,-0.12,-0.56,0.33
Humboldt squid,2,0.00,1.55,0.00,0.00,0.00,1.00,0.00,-1.00,1.55,1.00,1.00,0.44,-0.44,-0.32,0.32,-0.13,0.77
Large phytoplankton,231,64.40,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39
Large zooplankton,10,2.43,4.89,0.72,0.00,0.30,0.61,0.09,-0.52,8.04,0.68,0.36,0.75,-0.39,-0.28,0.28,-0.13,0.69
Macroalgae,165,41.98,21.95,37.80,8.34,0.41,0.22,0.37,0.16,101.74,0.60,0.19,0.90,0.14,0.10,-0.10,-0.49,0.29
Market squid,14,9.21,2.01,0.00,0.00,0.82,0.18,0.00,-0.18,11.22,0.85,0.71,1.71,-0.31,-0.22,0.22,-0.07,0.52
Meiobenthos,17,8.66,1.22,0.59,1.26,0.83,0.12,0.06,-0.06,10.47,0.84,0.69,1.62,-0.10,-0.07,0.07,-0.24,0.38
