group,taxon,ncrab.x,functional_group,respone_number,r_score_no_effect,r_score_decrease,r_score_increase,r_score_complex,pr_score_no_effect,pr_score_decrease,pr_score_increase,directional_score,evidence_score,agreement_score,normalized_agreement_score,confidence_score,raw_survival_scalar,relative_survival_scalar,oa_survival_response_curve_slope,oa_survival_response_curve_lower_bound_slope,oa_survival_response_curve_upper_bound_slope,rraw_survival_scalar,plot.group.num,plot.group,ncrab.y,pcrab,ngroup,outlier,subgroup,std_survival_scalar,eindex,eindex.rescaled,ed_JgAFDW,ed_JgWW,ed_taxon,std_ed,crab.risk
amphipod,Monocorophium acherusicum,43,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,43,0.7678571428571429,2,Monocorophium acherusicum,yes,0.4487179487179487,0.8893550412171611,0.8851107437697593,30050,NA,Corophiidae,1,1
barnacle,Balanus crenatus,22,Shallow benthic filter feeders,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,0.75,Arthropoda-2,Arthropoda,22,0.39285714285714285,2,Balanus crenatus,yes,0.6025641025641025,0.7193192840406545,0.7088065144651347,21878,NA,Balanus balanoides,0.4969529085872576,0.6322710849713471
Bacillariophyta,Pleurosigma,20,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,20,0.35714285714285715,17,Pleurosigma,yes,0.14743589743589744,0.38637852458553096,0.36359169039198824,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.46875594961817985
brown algae,Chordariaceae,19,Macroalgae,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,-0.14,Phaeophyceae-13,Phaeophyceae,19,0.3392857142857143,13,Chordariaceae,yes,0.03205128205128204,0.34079624499031413,0.31632899219586447,13805,NA,Chordariaceae,0,0.20227776624463684
Chlorophyta,Micromonas pusilla,16,Small phytoplankton,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,-0.09,unicellular taxa-17,unicellular taxa,16,0.2857142857142857,17,NA,yes,0.06410256410256411,0.2928169936765075,0.26658095645351926,25735,NA,Phytoplankton bloom,0.7343798091720529,0.5662116458981217
amphipod,Monocorophium insidiosum,15,Deposit feeders,47,13.26,12.59,1.7,1.97,0.48,0.46,0.06,-0.4,27.56,0.69,0.39,1.29,-0.51,-0.37,0.37,0.02,0.72,0.51,Arthropoda-2,Arthropoda,15,0.26785714285714285,2,Monocorophium insidiosum,yes,0.4487179487179487,0.5225851571574105,0.5048196637342997,30050,NA,Corophiidae,1,0.8315114637820463
Bacillariophyta,Naviculales,12,Large phytoplankton,231,64.4,36.95,32.39,4.72,0.48,0.28,0.24,-0.03,133.73,0.62,0.23,1.14,-0.04,-0.03,0.03,-0.34,0.39,0.04,unicellular taxa-17,unicellular taxa,12,0.21428571428571427,17,NA,yes,0.14743589743589744,0.2601071148578355,0.2326652079572352,22690,NA,Nitzschia paradoxa,0.5469375192366882,0.41991497246329124
worm,Platynereis sp.,9,Carnivorous infauna,41,13.94,12.97,1.55,0.78,0.49,0.46,0.05,-0.4,28.46,0.7,0.4,1.34,-0.54,-0.39,0.39,0.05,0.73,0.54,Annelida-1,Annelida,9,0.16071428571428573,1,NA,no,0.4679487179487179,0.49477781302570734,0.4759871848630509,15030,NA,Polychaeta,0.07540781779008926,0.33189789485910764
worm,Platynereis sp. CMC02,9,Carnivorous infauna,41,13.94,12.97,1.55,0.78,0.49,0.46,0.05,-0.4,28.46,0.7,0.4,1.34,-0.54,-0.39,0.39,0.05,0.73,0.54,Annelida-1,Annelida,9,0.16071428571428573,1,NA,no,0.4679487179487179,0.49477781302570734,0.4759871848630509,15030,NA,Polychaeta,0.07540781779008926,0.33189789485910764
horse and gaper clams,Tresus,9,Bivalves,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,1.22,Mollusca-10,Mollusca,9,0.16071428571428573,10,NA,yes,0.9038461538461537,0.9180233937406705,0.9148359726334971,19811,NA,Spisula spp.,0.36971375807940904,0.7270296001307814
