estuary,new_taxon,pcrab,std_survival_scalar,eindex.rescaled,std_ed,crab.risk,rank
Port Susan Bay,Ampithoe valida,0.2727272727272727,0.4487179487179487,0.4881344359836028,0.43859649122807015,0.38516713498352084,18
Samish Bay,Ampithoe valida,0.08333333333333333,0.4487179487179487,0.41715789784502527,0.43859649122807015,0.34385246870214214,14
Padilla Bay,Grandidierella japonica,0.08333333333333333,0.4487179487179487,0.41715789784502527,0.6611265004616805,0.48696705227694975,11
Port Susan Bay,Grandidierella japonica,0.13636363636363635,0.4487179487179487,0.43016385363791954,0.6611265004616805,0.49265893118785503,12
Padilla Bay,Monocorophium acherusicum,0.9166666666666666,0.4487179487179487,1,1,1,1
Port Susan Bay,Monocorophium acherusicum,0.9090909090909091,0.4487179487179487,0.9929766817728046,1,0.9959787543488086,1
Samish Bay,Monocorophium acherusicum,0.5,0.4487179487179487,0.6397059665776004,1,0.8157836018378085,1
Padilla Bay,Monocorophium insidiosum,0.08333333333333333,0.4487179487179487,0.41715789784502527,1,0.7317610755169014,3
Port Susan Bay,Monocorophium insidiosum,0.5454545454545454,0.4487179487179487,0.6753266439054134,1,0.8316563853834776,2
Samish Bay,Monocorophium insidiosum,0.08333333333333333,0.4487179487179487,0.41715789784502527,1,0.7317610755169014,3
Padilla Bay,Balanus crenatus,0.25,0.6025641025641025,0.6196068272554723,0.4969529085872576,0.497140203537842,10
Port Susan Bay,Balanus crenatus,0.4090909090909091,0.6025641025641025,0.6980594902573816,0.4969529085872576,0.5479237712234911,11
Samish Bay,Balanus crenatus,0.4166666666666667,0.6025641025641025,0.7024829915121911,0.4969529085872576,0.5508499215786309,8
Padilla Bay,Clinocardium nuttallii,0.08333333333333333,0.9038461538461537,0.8833500387745307,0.5487226839027393,0.6963815867406539,4
Port Susan Bay,Clinocardium nuttallii,0.22727272727272727,0.9038461538461537,0.9084551198742367,0.5487226839027393,0.713746799956232,5
Padilla Bay,Limecola,0.08333333333333333,0.9038461538461537,0.8833500387745307,0.28107109879963066,0.6047894713905289,8
Port Susan Bay,Limecola,0.045454545454545456,0.9038461538461537,0.8805699234344496,0.28107109879963066,0.6026408628265433,9
Samish Bay,Limecola,0.041666666666666664,0.9038461538461537,0.8803815581969046,0.28107109879963066,0.6024953076197455,7
Port Susan Bay,Saxidomus,0.09090909090909091,0.9038461538461537,0.8841008894232564,0.40621729763004,0.6420770430632583,6
Samish Bay,Saxidomus,0.041666666666666664,0.9038461538461537,0.8803815581969046,0.40621729763004,0.6393366552914195,5
Padilla Bay,Tellinidae,0.16666666666666666,0.9038461538461537,0.8951311538350002,0.28107109879963066,0.6139013281755276,7
Port Susan Bay,Tellinidae,0.18181818181818182,0.9038461538461537,0.898093853624355,0.28107109879963066,0.6161944763476147,8
Padilla Bay,Chordariaceae,0.5833333333333334,0.03205128205128204,0.5492017490128965,0,0.29834891548555376,20
Port Susan Bay,Chordariaceae,0.22727272727272727,0.03205128205128204,0.18279716894510928,0,0.0011412161167482502,24
Samish Bay,Chordariaceae,0.2916666666666667,0.03205128205128204,0.248808184991013,0,0.054685803928316304,21
