Sample_name,Locus,sample_id,Hash,nReads
1,LerayXT,1-KAY-01-a,9539f6a44c877269198249a8f0b5f957f8854c7e,169355
1,LerayXT,1-KAY-01-a,5589c9fd0b80abb991095d51b0d08322c825b1ab,898
1,LerayXT,1-KAY-01-a,74288e9967e36f202922cbd4f83b5236a199f917,198
1,LerayXT,1-KAY-01-a,1c8b16fb8ec494e8e799132635e1a77f390454ed,136
1,LerayXT,1-KAY-01-a,2f6a80aeea4509966ca4f28eec3ac6112ed6d044,129
1,LerayXT,1-KAY-01-a,67ea62282df47a1b7579f046b745d6743fd791ad,171
1,LerayXT,1-KAY-01-a,108d4657158923e75cc49074e7b77dd24fbb23ed,100
1,LerayXT,1-KAY-01-a,f036f833bbc18e08a3d645fb6450c9b9a84b0f67,27
1,LerayXT,1-KAY-01-a,317a0f4948acf74d0f9571922b285195b7bdac87,51
1,LerayXT,1-KAY-01-a,87cc03f785b8668a067e4ae97988ac6d17ba7be4,103
1,LerayXT,1-KAY-01-a,dda6ca9f3cf8c21e715324dade0633732218cb0c,533
1,LerayXT,1-KAY-01-a,b94d3c4f979ae438dd1d91885c0ff8f748a84808,58
1,LerayXT,1-KAY-01-a,793f70d420780e5ec354c144293b035196fc50d4,181
1,LerayXT,1-KAY-01-a,18e497a93ae2bfe5cf8965682fd21d7e0f2ca762,230
1,LerayXT,1-KAY-01-a,24d793c33398cd75242ae673dda93582e4daaa55,27
1,LerayXT,1-KAY-01-a,30d05a80fc816d5f9103e0b8eea6b44cb8a32446,36
1,LerayXT,1-KAY-01-a,dd74a307dc5c5ea23c3818ad3bd29001b81f6add,18
1,LerayXT,1-KAY-01-a,141344814e971215afc963e6028cec8204d7bee7,5
1,LerayXT,1-KAY-01-a,c961888837d6e83542b643560f258f7047f4fb64,3
1,LerayXT,1-KAY-01-a,e7282a38b725d49c4bcf0f5383ea99dea3115ec6,77
1,LerayXT,1-KAY-01-a,57f73589edb2c229bce32944aa078aefe794b6d3,35
1,LerayXT,1-KAY-01-a,ff85c7e35057fd3ae935b8aa42d2f8347161c204,58
1,LerayXT,1-KAY-01-a,f80c71e33339c6a16bcce1ad39d1f7b6e83419b2,4
1,LerayXT,1-KAY-01-a,9214f61dd55597802a699b1a37f315f81e6d8101,7
1,LerayXT,1-KAY-01-a,b96fcc7676174dcd6c80eecfa50d4d91d7984869,3
1,LerayXT,1-KAY-01-a,b1c172fd65bf1bed5634b7916859cba7199cae68,20
1,LerayXT,1-KAY-01-a,7af171aca16612df2c597775c569c0955e824004,11
1,LerayXT,1-KAY-01-a,6ef2df6df3ee64c8cb1bf2770599149718cd17eb,6
1,LerayXT,1-KAY-01-a,b79d8ca0327ebda487edac753180621858fd86fb,24
1,LerayXT,1-KAY-01-a,d6cd3713005577ef5abfb6ee8fabfb0e5e0e1820,13
1,LerayXT,1-KAY-01-a,600d71e38295f0571ba217afbe1fb3d10100a03e,28
1,LerayXT,1-KAY-01-a,301642a6e7e84ca76f93125e3f05bc6ee387e789,20
1,LerayXT,1-KAY-01-a,b6869bd9f4d3e386b5ddbbe52987f62bed558bf3,13
1,LerayXT,1-KAY-01-a,7867cd042564fda4c8bb47de923f8c706c2325d6,7
1,LerayXT,1-KAY-01-a,34e0646254baa1238ca8e7f0d558b0b0986c2d13,16
1,LerayXT,1-KAY-01-a,4c5361fdfafeba0594b02786dbd103bfa430be09,15
1,LerayXT,1-KAY-01-a,65b58800cf495c8773d42295a7b8f15bdac3bab5,5
1,LerayXT,1-KAY-01-a,8b4899c452c3ca1b6997c7d7ea812c8ac7d85b99,12
1,LerayXT,1-KAY-01-a,28bf86c8831a4f9985f14b0ee39d771e12a921d5,10
1,LerayXT,1-KAY-01-a,831c2947e40ccd73228b4f31f2560dfa12b4d965,9
1,LerayXT,1-KAY-01-a,19ebd6412e22f621e047cba08d4a30f7da620971,9
1,LerayXT,1-KAY-01-a,2630aa49334a50f8a40c695282375cf7479cf598,4
1,LerayXT,1-KAY-01-a,5cf65a215a690248b6ef293e7ea92814eadf06e7,6
1,LerayXT,1-KAY-01-a,92836c04734a44ec99b1717dea787af8a8076045,6
1,LerayXT,1-KAY-01-a,fdf49a63359af46e57b1541a504f8c7b936f8241,5
1,LerayXT,1-KAY-01-a,279f444492a0d00d81c315c8a2882b499d347963,5
1,LerayXT,1-KAY-01-a,bb16476da5660bc81acf148211dafd1c5edd2742,4
1,LerayXT,1-KAY-01-a,7bc2ab562ea727088733485b423581e1b2a00ed1,4
1,LerayXT,1-KAY-01-a,53fb927d5eb7101f4389a6f40a4f0ab0d208f758,4
1,LerayXT,1-KAY-01-a,23631a3c1c94c14df21ad4fe547349f37fdae255,4
1,LerayXT,1-KAY-01-a,04eb3612f5a2032330223ca794b16431cc2b4a8f,3
1,LerayXT,1-KAY-01-a,6b287937db786287c55beaece531ab0233cab89b,3
1,LerayXT,1-KAY-01-a,efc9c46da7662301160d545f4e131b48520d8239,2
1,LerayXT,1-KAY-01-a,649a4a0c9b0e33f6a5a2f8901d10327ab29d539e,2
2,LerayXT,2-KAY-01-b,9539f6a44c877269198249a8f0b5f957f8854c7e,179107
2,LerayXT,2-KAY-01-b,5589c9fd0b80abb991095d51b0d08322c825b1ab,1044
2,LerayXT,2-KAY-01-b,74288e9967e36f202922cbd4f83b5236a199f917,462
2,LerayXT,2-KAY-01-b,1c8b16fb8ec494e8e799132635e1a77f390454ed,423
2,LerayXT,2-KAY-01-b,2f6a80aeea4509966ca4f28eec3ac6112ed6d044,222
2,LerayXT,2-KAY-01-b,67ea62282df47a1b7579f046b745d6743fd791ad,131
2,LerayXT,2-KAY-01-b,108d4657158923e75cc49074e7b77dd24fbb23ed,50
2,LerayXT,2-KAY-01-b,70d18a47706a14ff4e506fc3c862537937e00e47,16
2,LerayXT,2-KAY-01-b,80f508ff8834949761b45cfd60ecf7efa5c68e6c,63
2,LerayXT,2-KAY-01-b,f036f833bbc18e08a3d645fb6450c9b9a84b0f67,19
2,LerayXT,2-KAY-01-b,317a0f4948acf74d0f9571922b285195b7bdac87,94
2,LerayXT,2-KAY-01-b,add35e6a1bd320a8be400132094abf1520846a95,25
2,LerayXT,2-KAY-01-b,b94d3c4f979ae438dd1d91885c0ff8f748a84808,34
2,LerayXT,2-KAY-01-b,793f70d420780e5ec354c144293b035196fc50d4,319
2,LerayXT,2-KAY-01-b,18e497a93ae2bfe5cf8965682fd21d7e0f2ca762,201
2,LerayXT,2-KAY-01-b,ead16679ddb3d065de60495f5da541ac4e2a5229,36
2,LerayXT,2-KAY-01-b,dd74a307dc5c5ea23c3818ad3bd29001b81f6add,37
