"","Var1","Freq","Length"
"1","225",14,225
"2","227",1,227
"3","232",1,232
"4","233",1,233
"5","237",1,237
"6","239",3,239
"7","241",1,241
"8","243",1,243
"9","244",1,244
"10","247",1,247
"11","248",1,248
"12","250",2,250
"13","252",2,252
"14","253",4,253
"15","254",4,254
"16","255",2,255
"17","257",1,257
"18","259",1,259
"19","263",1,263
"20","266",1,266
"21","267",1,267
"22","268",1,268
"23","269",2,269
"24","271",2,271
"25","272",1,272
"26","278",4,278
"27","281",1,281
"28","282",2,282
"29","283",2,283
"30","285",3,285
"31","287",1,287
"32","290",3,290
"33","291",1,291
"34","292",1,292
"35","293",3,293
"36","294",1,294
"37","295",6,295
"38","296",2,296
"39","297",2,297
"40","298",2,298
"41","300",1,300
"42","301",8,301
"43","302",4,302
"44","303",13,303
"45","304",104,304
"46","305",8,305
"47","306",4,306
"48","307",55,307
"49","308",7,308
"50","309",1,309
"51","310",93,310
"52","312",36,312
"53","313",1795,313
"54","314",1,314
"55","315",4,315
"56","316",26,316
"57","317",3,317
"58","319",15,319
"59","320",1,320
"60","322",1,322
"61","323",1,323
"62","327",1,327
"63","329",2,329
"64","330",3,330
"65","332",2,332
"66","335",2,335
"67","340",4,340
"68","343",1,343
"69","344",1,344
"70","346",1,346
"71","348",2,348
"72","349",17,349
"73","351",5,351
"74","352",362,352
"75","354",1,354
"76","355",4,355
"77","356",1,356
"78","357",1,357
"79","358",1,358
"80","362",1,362
"81","363",1,363
"82","364",8,364
"83","365",1,365
"84","367",13,367
"85","370",1,370
"86","372",1,372
"87","373",9,373
"88","374",1,374
"89","376",1,376
"90","383",3,383
"91","384",1,384
"92","387",1,387
"93","393",1,393
"94","394",1,394
"95","400",3,400
"96","401",1,401
"97","402",1,402
"98","404",1,404
"99","407",1,407
"100","409",12,409
"101","410",7,410
"102","412",2,412
