Sample_name,Locus,file1,file2
88,LerayXT,Locus_LerayXT_CLAY_13-a_S88_L001_R1_001.fastq.fastq,Locus_LerayXT_CLAY_13-a_S88_L001_R2_001.fastq.fastq
89,LerayXT,Locus_LerayXT_CLAY_13-b_S89_L001_R1_001.fastq.fastq,Locus_LerayXT_CLAY_13-b_S89_L001_R2_001.fastq.fastq
90,LerayXT,Locus_LerayXT_CLAY_13-c_S90_L001_R1_001.fastq.fastq,Locus_LerayXT_CLAY_13-c_S90_L001_R2_001.fastq.fastq
31,LerayXT,Locus_LerayXT_KAY_06-a_S31_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_06-a_S31_L001_R2_001.fastq.fastq
32,LerayXT,Locus_LerayXT_KAY_06-b_S32_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_06-b_S32_L001_R2_001.fastq.fastq
33,LerayXT,Locus_LerayXT_KAY_06-c_S33_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_06-c_S33_L001_R2_001.fastq.fastq
34,LerayXT,Locus_LerayXT_KAY_25-a_S34_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_25-a_S34_L001_R2_001.fastq.fastq
35,LerayXT,Locus_LerayXT_KAY_25-b_S35_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_25-b_S35_L001_R2_001.fastq.fastq
36,LerayXT,Locus_LerayXT_KAY_25-c_S36_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_25-c_S36_L001_R2_001.fastq.fastq
37,LerayXT,Locus_LerayXT_KAY_26-a_S37_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_26-a_S37_L001_R2_001.fastq.fastq
38,LerayXT,Locus_LerayXT_KAY_26-b_S38_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_26-b_S38_L001_R2_001.fastq.fastq
39,LerayXT,Locus_LerayXT_KAY_26-c_S39_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_26-c_S39_L001_R2_001.fastq.fastq
40,LerayXT,Locus_LerayXT_KAY_27-a_S40_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_27-a_S40_L001_R2_001.fastq.fastq
41,LerayXT,Locus_LerayXT_KAY_27-b_S41_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_27-b_S41_L001_R2_001.fastq.fastq
42,LerayXT,Locus_LerayXT_KAY_27-c_S42_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_27-c_S42_L001_R2_001.fastq.fastq
28,LerayXT,Locus_LerayXT_KAY_29-a_S28_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_29-a_S28_L001_R2_001.fastq.fastq
29,LerayXT,Locus_LerayXT_KAY_29-b_S29_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_29-b_S29_L001_R2_001.fastq.fastq
30,LerayXT,Locus_LerayXT_KAY_29-c_S30_L001_R1_001.fastq.fastq,Locus_LerayXT_KAY_29-c_S30_L001_R2_001.fastq.fastq
1,LerayXT,Locus_LerayXT_MARPT_08-a_S1_L001_R1_001.fastq.fastq,Locus_LerayXT_MARPT_08-a_S1_L001_R2_001.fastq.fastq
2,LerayXT,Locus_LerayXT_MARPT_08-b_S2_L001_R1_001.fastq.fastq,Locus_LerayXT_MARPT_08-b_S2_L001_R2_001.fastq.fastq
3,LerayXT,Locus_LerayXT_MARPT_08-c_S3_L001_R1_001.fastq.fastq,Locus_LerayXT_MARPT_08-c_S3_L001_R2_001.fastq.fastq
