"","Var1","Freq","Length"
"1","250",13,250
"2","252",1,252
"3","253",4,253
"4","254",3,254
"5","255",2,255
"6","256",1,256
"7","257",2,257
"8","260",2,260
"9","263",2,263
"10","264",1,264
"11","268",1,268
"12","269",1,269
"13","270",3,270
"14","271",1,271
"15","272",2,272
"16","273",1,273
"17","274",2,274
"18","276",3,276
"19","277",2,277
"20","278",2,278
"21","279",1,279
"22","281",2,281
"23","282",1,282
"24","284",1,284
"25","285",4,285
"26","286",2,286
"27","287",3,287
"28","290",4,290
"29","291",8,291
"30","293",7,293
"31","294",3,294
"32","295",6,295
"33","296",5,296
"34","297",7,297
"35","298",4,298
"36","301",12,301
"37","302",2,302
"38","303",29,303
"39","304",167,304
"40","305",10,305
"41","306",3,306
"42","307",51,307
"43","308",12,308
"44","309",3,309
"45","310",122,310
"46","311",6,311
"47","312",95,312
"48","313",1495,313
"49","314",3,314
"50","315",6,315
"51","316",48,316
"52","317",1,317
"53","318",7,318
"54","319",32,319
"55","320",1,320
"56","321",1,321
"57","322",2,322
"58","323",1,323
"59","324",1,324
"60","325",1,325
"61","327",3,327
"62","329",3,329
"63","332",4,332
"64","335",1,335
"65","336",1,336
"66","337",2,337
"67","338",3,338
"68","339",1,339
"69","340",15,340
"70","342",1,342
"71","344",3,344
"72","345",1,345
"73","346",1,346
"74","347",1,347
"75","348",3,348
"76","349",26,349
"77","351",8,351
"78","352",336,352
"79","354",2,354
"80","355",21,355
"81","356",2,356
"82","357",4,357
"83","358",2,358
"84","359",1,359
"85","360",2,360
"86","361",2,361
"87","362",1,362
"88","363",4,363
"89","364",15,364
"90","365",1,365
"91","367",14,367
"92","368",2,368
"93","369",1,369
"94","370",2,370
"95","372",2,372
"96","373",12,373
"97","375",5,375
"98","376",5,376
"99","378",1,378
"100","379",1,379
"101","380",1,380
"102","382",3,382
"103","383",2,383
"104","384",2,384
"105","386",1,386
"106","391",2,391
"107","392",1,392
"108","398",3,398
"109","400",1,400
"110","403",2,403
"111","404",3,404
"112","406",2,406
"113","409",18,409
"114","410",10,410
"115","411",3,411
"116","412",3,412
"117","420",1,420
"118","422",1,422
"119","423",1,423
"120","429",2,429
"121","434",2,434
"122","435",1,435
"123","436",1,436
"124","437",1,437
