Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
88,LerayXT,20232,18287,18216,18230,17980,17980,17924
89,LerayXT,66966,61271,61168,61133,60487,60487,60154
90,LerayXT,198669,179199,179016,179066,176726,176726,175647
31,LerayXT,174116,156873,156752,156628,155166,155166,154106
32,LerayXT,181286,164957,164803,164540,164309,164309,163184
33,LerayXT,150408,138133,138043,138012,137665,137665,136756
34,LerayXT,198721,183255,183134,183145,182753,182753,181740
35,LerayXT,166306,153000,152875,152895,152691,152691,151918
36,LerayXT,211372,195588,195416,195495,195056,195056,194099
37,LerayXT,192786,176434,176291,176333,175887,175887,174995
38,LerayXT,193453,176215,176109,176149,175784,175784,175060
39,LerayXT,196848,179851,179758,179739,179306,179306,178443
40,LerayXT,200892,186139,186021,186050,185629,185629,184932
41,LerayXT,171487,158609,158546,158517,158151,158151,157576
42,LerayXT,139303,128741,128681,128683,128359,128359,128072
28,LerayXT,110343,101087,101044,100889,100628,100628,100449
29,LerayXT,197456,180736,180661,180296,180035,180035,179769
30,LerayXT,146468,134265,134207,134223,134119,134119,133971
1,LerayXT,90872,84613,84552,84557,84497,84497,84497
2,LerayXT,140294,129786,129747,129739,129661,129661,129610
3,LerayXT,60068,55497,55466,55466,55421,55421,55394
4,LerayXT,105326,94601,94524,94517,94347,94347,94267
5,LerayXT,164086,147459,147366,147346,145475,145475,145446
6,LerayXT,121511,109266,109192,109121,108891,108891,108604
7,LerayXT,96416,89289,89279,89268,89249,89249,89249
8,LerayXT,146688,131593,131574,131570,131484,131484,131484
9,LerayXT,127795,117734,117722,117707,117662,117662,117662
10,LerayXT,9558,8796,8783,8790,8775,8775,8775
11,LerayXT,80109,72437,72421,72400,72240,72240,72240
12,LerayXT,102303,94622,94602,94599,94449,94449,94444
13,LerayXT,145373,129695,129629,129643,127986,127986,127908
14,LerayXT,143419,130353,130285,130250,129165,129165,129071
15,LerayXT,136272,124117,124081,124073,123114,123114,123036
25,LerayXT,18654,17358,17353,17355,17352,17352,17352
26,LerayXT,168033,154432,59319,59313,59301,59301,59301
27,LerayXT,63968,59326,59319,59313,59301,59301,59301
16,LerayXT,148602,137336,137283,137298,137124,137124,137086
17,LerayXT,168765,155882,155812,155807,155574,155574,155467
18,LerayXT,155250,143256,143199,143184,143005,143005,142917
19,LerayXT,134409,124086,124019,123948,123012,123012,122579
20,LerayXT,166023,152629,152566,152571,150880,150880,150425
21,LerayXT,122060,112883,112839,112828,111570,111570,111290
22,LerayXT,34103,31406,31379,31384,31307,31307,31307
23,LerayXT,120609,111167,111105,111116,111015,111015,110978
24,LerayXT,137493,127103,127058,127031,126865,126865,126725
76,LerayXT,135040,121234,121098,120937,120516,120516,120268
77,LerayXT,163343,143172,142991,143023,142100,142100,141709
78,LerayXT,152703,136231,136049,136085,135551,135551,135292
79,LerayXT,207140,185291,185232,185202,185027,185027,184458
80,LerayXT,162932,142262,142172,142185,142076,142076,141571
81,LerayXT,106668,95163,95085,95095,94982,94982,94689
82,LerayXT,159105,145654,145550,145588,143574,143574,143557
83,LerayXT,209773,190415,189968,190245,187693,187693,187562
84,LerayXT,115564,104624,104428,104576,103568,103568,103149
85,LerayXT,10171,9257,9238,9247,9209,9209,9209
86,LerayXT,13176,12038,12026,12028,12012,12012,12011
87,LerayXT,8218,7513,7504,7505,7498,7498,7498
43,LerayXT,185456,170491,170463,170181,169798,169798,169606
44,LerayXT,227369,208745,208689,208708,207855,207855,207714
45,LerayXT,216456,197927,197600,197796,196091,196091,196048
46,LerayXT,132140,120677,120589,120631,120105,120105,119086
47,LerayXT,168100,154181,154124,154079,152881,152881,152501
48,LerayXT,171011,156841,156762,156637,155773,155773,154223
49,LerayXT,214124,197018,196943,196888,196146,196146,195972
50,LerayXT,168608,152572,152504,152481,152254,152254,152206
51,LerayXT,163398,150544,150469,150460,150184,150184,150140
52,LerayXT,135859,123295,123220,123138,122822,122822,122660
53,LerayXT,156824,139093,139005,139002,138555,138555,138261
54,LerayXT,147657,135916,135783,135785,135291,135291,134688
55,LerayXT,251067,231016,230856,230931,230471,230471,229879
56,LerayXT,190969,177673,177562,177591,177033,177033,175712
57,LerayXT,263160,242196,242132,242060,241662,241662,241442
58,LerayXT,74252,67620,67466,67460,66825,66825,65723
59,LerayXT,159597,144413,144002,144181,142879,142879,140362
60,LerayXT,164466,149005,148816,148844,147833,147833,145333
61,LerayXT,119752,109787,109774,109558,109298,109298,109187
62,LerayXT,132429,119518,119500,119498,119120,119120,118964
63,LerayXT,108377,100039,100023,100013,99781,99781,99772
64,LerayXT,113099,102965,102898,102916,102586,102586,102039
65,LerayXT,101252,90708,90612,90604,90150,90150,89628
66,LerayXT,140704,126967,126863,126915,126255,126255,125353
67,LerayXT,153704,139984,139906,139898,139731,139731,139642
68,LerayXT,117126,107299,107232,107253,107117,107117,107102
69,LerayXT,167246,150827,150760,150767,150531,150531,150359
70,LerayXT,188815,173497,173422,173446,172742,172742,172724
71,LerayXT,167500,150156,150109,150119,149532,149532,149492
72,LerayXT,177094,163664,163637,163612,163308,163308,163300
73,LerayXT,142006,130686,130655,130657,130518,130518,130461
74,LerayXT,163982,149175,149144,149140,148939,148939,148824
75,LerayXT,113713,103432,103386,103400,103261,103261,103235
94,LerayXT,2151,1922,1921,1920,1919,1919,1919
96,LerayXT,187813,165216,165097,165149,163533,163533,162861
